Ticker,Industry,Sector-Code
TRV US Equity,Financial,5
TSCO US Equity,"Consumer, Cyclical",2
TSLA US Equity,"Consumer, Cyclical",2
TSN US Equity,"Consumer, Non-cyclical",3
TT US Equity,Industrial,6
TTWO US Equity,Technology,7
TXN US Equity,Technology,7
TXT US Equity,Industrial,6
TYL US Equity,Technology,7
UAL US Equity,"Consumer, Cyclical",2
UBER US Equity,Communications,1
UDR US Equity,Financial,5
UHS US Equity,"Consumer, Non-cyclical",3
ULTA US Equity,"Consumer, Cyclical",2
UNH US Equity,"Consumer, Non-cyclical",3
UNP US Equity,Industrial,6
UPS US Equity,Industrial,6
URI US Equity,"Consumer, Non-cyclical",3
USB US Equity,Financial,5
V US Equity,Financial,5
VICI US Equity,Financial,5
VLO US Equity,Energy,4
VLTO US Equity,Industrial,6
VMC US Equity,Industrial,6
VRSK US Equity,"Consumer, Non-cyclical",3
VRSN US Equity,Communications,1
VRTX US Equity,"Consumer, Non-cyclical",3
VST US Equity,Utilities,8
VTR US Equity,Financial,5
VTRS US Equity,"Consumer, Non-cyclical",3
VZ US Equity,Communications,1
WAB US Equity,Industrial,6
WAT US Equity,"Consumer, Non-cyclical",3
WBA US Equity,"Consumer, Cyclical",2
WBD US Equity,Communications,1
WDAY US Equity,Technology,7
WDC US Equity,Technology,7
WEC US Equity,Utilities,8
WELL US Equity,Financial,5
WFC US Equity,Financial,5
WM US Equity,Industrial,6
WMB US Equity,Energy,4
WMT US Equity,"Consumer, Cyclical",2
WRB US Equity,Financial,5
WSM US Equity,"Consumer, Cyclical",2
WST US Equity,"Consumer, Non-cyclical",3
WTW US Equity,Financial,5
WY US Equity,Financial,5
WYNN US Equity,"Consumer, Cyclical",2
XEL US Equity,Utilities,8
XOM US Equity,Energy,4
XYL US Equity,Industrial,6
YUM US Equity,"Consumer, Cyclical",2
ZBH US Equity,"Consumer, Non-cyclical",3
ZBRA US Equity,Technology,7
ZTS US Equity,"Consumer, Non-cyclical",3
